Provider Number,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia
10659,12,No Different than U.S. National Rate,8.2,16.7,39,18.5,No Different than U.S. National Rate,14.4,23.3,42
10660,Not Available,Number of Cases Too Small,Not Available,Not Available,5,Not Available,Number of Cases Too Small,Not Available,Not Available,5
10661,12.3,No Different than U.S. National Rate,8.7,16.9,84,18.5,No Different than U.S. National Rate,14.8,23,89
10662,11.7,No Different than U.S. National Rate,8.2,16.4,41,19.1,No Different than U.S. National Rate,14.7,24,44
10663,Not Available,Number of Cases Too Small,Not Available,Not Available,13,Not Available,Number of Cases Too Small,Not Available,Not Available,15
10664,12.5,No Different than U.S. National Rate,8.6,17.4,39,19.4,No Different than U.S. National Rate,15.1,24.5,44
10665,14.5,No Different than U.S. National Rate,10.2,19.7,57,19.5,No Different than U.S. National Rate,15.3,24.4,61
10666,11.9,No Different than U.S. National Rate,8.2,17.2,37,17.2,No Different than U.S. National Rate,13.2,22.1,36
10667,11.8,No Different than U.S. National Rate,8.3,16.8,63,17.1,No Different than U.S. National Rate,13.3,21.5,66
10668,10.7,No Different than U.S. National Rate,7.6,14.9,78,19.5,No Different than U.S. National Rate,15.3,24.4,83
10669,14.2,No Different than U.S. National Rate,10.2,19.2,52,19.2,No Different than U.S. National Rate,15.2,23.8,55
10670,13.8,No Different than U.S. National Rate,10,18.8,77,16.7,No Different than U.S. National Rate,13,21.1,79
10671,10.2,No Different than U.S. National Rate,6.9,14.9,44,17.9,No Different than U.S. National Rate,14,22.7,55
10672,Not Available,Number of Cases Too Small,Not Available,Not Available,24,18.2,No Different than U.S. National Rate,14.1,23.1,25
10673,11.1,No Different than U.S. National Rate,7.3,16.4,37,18.9,No Different than U.S. National Rate,14.5,24.3,46
10674,11.4,No Different than U.S. National Rate,8,16.1,75,18,No Different than U.S. National Rate,14.4,22.4,76
10675,12.1,No Different than U.S. National Rate,8.5,17.1,73,18.7,No Different than U.S. National Rate,14.6,23.3,80
10676,13.2,No Different than U.S. National Rate,9.8,17.6,121,17,No Different than U.S. National Rate,13.6,21,127
10677,10.5,No Different than U.S. National Rate,7,15.6,25,17.7,No Different than U.S. National Rate,13.6,22.9,28
10678,Not Available,Number of Cases Too Small,Not Available,Not Available,16,Not Available,Number of Cases Too Small,Not Available,Not Available,16
10679,Not Available,Number of Cases Too Small,Not Available,Not Available,24,18,No Different than U.S. National Rate,13.9,23.2,33
10680,12.8,No Different than U.S. National Rate,9.2,17.5,109,14.9,No Different than U.S. National Rate,11.8,19,113
10681,Not Available,Number of Cases Too Small,Not Available,Not Available,17,Not Available,Number of Cases Too Small,Not Available,Not Available,14
10682,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10683,10.2,Better than U.S. National Rate,8.9,11.7,1299,24.9,Worse than U.S. National Rate,22.3,27,1321
10684,12,No Different than U.S. National Rate,10.3,14.1,765,19.7,No Different than U.S. National Rate,17.4,22.3,748
10685,13.7,No Different than U.S. National Rate,10.8,17.3,274,16.9,No Different than U.S. National Rate,14,20.3,275
10686,11.4,No Different than U.S. National Rate,8.5,14.7,192,18.2,No Different than U.S. National Rate,14.7,21.9,192
10687,11.8,No Different than U.S. National Rate,9.7,14.4,453,17.5,No Different than U.S. National Rate,15,20.6,442
10688,9.3,Better than U.S. National Rate,7.6,11.4,448,18.2,No Different than U.S. National Rate,15.4,21.4,441
10689,13,No Different than U.S. National Rate,10.8,15.5,513,16.2,No Different than U.S. National Rate,13.8,19,498
10690,11.2,No Different than U.S. National Rate,8.8,14,277,18.9,No Different than U.S. National Rate,16,22.3,300
10691,11.1,No Different than U.S. National Rate,9.2,13.5,446,19.7,No Different than U.S. National Rate,16.7,22.9,422
10692,10.5,No Different than U.S. National Rate,8.4,12.9,327,16.5,No Different than U.S. National Rate,13.7,20,314
10693,10.2,No Different than U.S. National Rate,7.6,13.1,273,17.3,No Different than U.S. National Rate,14.2,20.7,283
10694,12.1,No Different than U.S. National Rate,9,16,143,18.1,No Different than U.S. National Rate,14.5,22.1,137
10695,8.9,Better than U.S. National Rate,7.2,11,405,17.2,No Different than U.S. National Rate,14.7,20.2,406
10696,11.4,No Different than U.S. National Rate,9.5,13.6,603,20.7,No Different than U.S. National Rate,18.2,23.5,624
10697,12.4,No Different than U.S. National Rate,10.3,14.7,512,20.3,No Different than U.S. National Rate,17.4,23.2,508
10698,15.4,Worse than U.S. National Rate,12.3,19,228,20.3,No Different than U.S. National Rate,16.9,23.9,231
10699,10.6,No Different than U.S. National Rate,8.9,12.5,713,15.4,Better than U.S. National Rate,13.3,17.9,720
10700,11.3,No Different than U.S. National Rate,8.8,14.7,209,17,No Different than U.S. National Rate,13.8,20.6,205
10701,9.4,Better than U.S. National Rate,7.9,11.2,708,20.8,No Different than U.S. National Rate,18.3,23.4,756
10702,10.1,No Different than U.S. National Rate,8.3,12.4,533,17.4,No Different than U.S. National Rate,15,20,564
10703,10.7,No Different than U.S. National Rate,9.1,12.5,839,17.2,No Different than U.S. National Rate,15,19.7,816
10704,10.8,No Different than U.S. National Rate,8.8,13.2,507,17.4,No Different than U.S. National Rate,14.9,20.1,511
10705,11.6,No Different than U.S. National Rate,9.4,14.2,416,18.7,No Different than U.S. National Rate,15.9,21.8,411
10706,12.5,No Different than U.S. National Rate,10.3,15,451,20.3,No Different than U.S. National Rate,17.2,23.5,440
10707,10.4,No Different than U.S. National Rate,8.1,13.1,268,17.5,No Different than U.S. National Rate,14.6,20.9,273
10708,10.1,Better than U.S. National Rate,8.5,11.7,1003,18.5,No Different than U.S. National Rate,16.5,20.7,1018
10709,10.9,No Different than U.S. National Rate,9,13,614,18.6,No Different than U.S. National Rate,16.1,21.3,607
10710,9.6,Better than U.S. National Rate,8,11.5,824,19.1,No Different than U.S. National Rate,16.7,21.6,816
10711,12,No Different than U.S. National Rate,9.6,14.7,350,19.9,No Different than U.S. National Rate,16.9,23.1,374
10712,10.7,No Different than U.S. National Rate,7.9,14.2,129,20.6,No Different than U.S. National Rate,16.9,24.9,127
10713,11,No Different than U.S. National Rate,7.8,15,57,17.1,No Different than U.S. National Rate,13.3,21.9,54
10714,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10715,13.1,No Different than U.S. National Rate,11.7,14.6,1739,18.5,No Different than U.S. National Rate,16.8,20.3,1791
10716,11.4,No Different than U.S. National Rate,8.5,15,190,20.7,No Different than U.S. National Rate,16.9,25.2,198
10717,11.1,No Different than U.S. National Rate,9.3,13.2,878,20.2,No Different than U.S. National Rate,18.1,22.4,931
10718,11.9,No Different than U.S. National Rate,9,15.6,252,18.5,No Different than U.S. National Rate,15.4,21.9,267
10719,10.7,No Different than U.S. National Rate,8.5,13.3,475,16.6,No Different than U.S. National Rate,14.1,19.4,496
10720,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10721,13,No Different than U.S. National Rate,9.8,17.1,171,18.7,No Different than U.S. National Rate,15.1,22.7,176
10722,10.8,No Different than U.S. National Rate,7.7,14.9,84,20.2,No Different than U.S. National Rate,16.1,25,87
10723,15.8,Worse than U.S. National Rate,12.4,20.1,169,19.2,No Different than U.S. National Rate,15.9,23.2,167
10724,11.5,No Different than U.S. National Rate,9.2,14.3,375,17.6,No Different than U.S. National Rate,14.6,21,374
10725,10.9,No Different than U.S. National Rate,8.3,13.9,232,20.3,No Different than U.S. National Rate,17,24.1,230
10726,13.2,No Different than U.S. National Rate,9.8,17.5,113,19.7,No Different than U.S. National Rate,16.1,23.7,114
10727,9.9,No Different than U.S. National Rate,7.8,12.4,359,19,No Different than U.S. National Rate,16.1,22.1,372
10728,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10729,12,No Different than U.S. National Rate,9.2,15.6,170,20.1,No Different than U.S. National Rate,16.7,23.8,181
10730,11,No Different than U.S. National Rate,9,13.3,509,17.4,No Different than U.S. National Rate,15.1,20.5,517
10731,10.6,No Different than U.S. National Rate,9.1,12.3,992,21.5,Worse than U.S. National Rate,19.1,23.7,1008
10732,10.6,Better than U.S. National Rate,9.5,11.9,2139,20.7,Worse than U.S. National Rate,19.1,22.3,2223
10733,10.7,No Different than U.S. National Rate,9,12.5,689,18.2,No Different than U.S. National Rate,16,20.7,736
10734,11,No Different than U.S. National Rate,8.8,13.6,215,19.4,No Different than U.S. National Rate,16.4,22.7,227
10735,11.9,No Different than U.S. National Rate,10.2,13.9,974,17.8,No Different than U.S. National Rate,15.8,19.9,1034
10736,12,No Different than U.S. National Rate,9,15.7,173,18,No Different than U.S. National Rate,14.6,21.7,183
10737,14.5,Worse than U.S. National Rate,12.2,17.2,533,18.7,No Different than U.S. National Rate,16.2,21.5,562
10738,10.9,No Different than U.S. National Rate,9.4,12.6,1084,15.4,Better than U.S. National Rate,13.6,17.7,1083
10739,12.3,No Different than U.S. National Rate,10.5,14.4,779,19.7,No Different than U.S. National Rate,17.4,22.1,804
10740,14.6,Worse than U.S. National Rate,12.3,17.4,392,19.9,No Different than U.S. National Rate,17.2,22.9,416
10741,14.9,Worse than U.S. National Rate,12.4,18,483,15,Better than U.S. National Rate,12.7,18.1,493
10742,12.4,No Different than U.S. National Rate,10.1,15,441,17.6,No Different than U.S. National Rate,15.1,20.5,439
10743,10.2,No Different than U.S. National Rate,8.4,12.5,591,16.5,No Different than U.S. National Rate,14.3,19.3,628
10744,9.1,Better than U.S. National Rate,6.9,11.6,360,16.9,No Different than U.S. National Rate,14.2,19.8,385
10745,10.2,No Different than U.S. National Rate,8.1,12.8,271,19.4,No Different than U.S. National Rate,16.4,22.9,263
10746,11.6,No Different than U.S. National Rate,9.1,14.8,245,20.4,No Different than U.S. National Rate,17.2,23.8,263
10747,11.7,No Different than U.S. National Rate,9.2,14.5,305,19.2,No Different than U.S. National Rate,16,22.5,298
10748,8.2,Better than U.S. National Rate,6.8,10,520,16.6,No Different than U.S. National Rate,14.5,19.1,537
10749,13,No Different than U.S. National Rate,10.4,15.9,369,17.8,No Different than U.S. National Rate,15,20.8,376
10750,15.5,Worse than U.S. National Rate,13.1,18.3,439,18.7,No Different than U.S. National Rate,15.9,21.7,455
10751,12.4,No Different than U.S. National Rate,9,16.6,109,18.8,No Different than U.S. National Rate,15,23.5,103
10752,10.7,No Different than U.S. National Rate,9.1,12.5,860,20.4,No Different than U.S. National Rate,18.1,22.7,894
10753,10.1,No Different than U.S. National Rate,7.5,13.3,184,16.6,No Different than U.S. National Rate,13.6,20.7,189
10754,10.8,No Different than U.S. National Rate,9.1,12.9,724,18.6,No Different than U.S. National Rate,16.3,21.1,759
10755,15.5,Worse than U.S. National Rate,12.4,19.3,268,17.2,No Different than U.S. National Rate,14.2,20.7,273
10756,11.6,No Different than U.S. National Rate,8.7,15.1,226,15.3,No Different than U.S. National Rate,12.6,18.5,252
10757,11.1,No Different than U.S. National Rate,8.7,13.9,356,20.9,No Different than U.S. National Rate,17.8,24.2,369
10758,12.9,No Different than U.S. National Rate,9.9,16.8,160,20,No Different than U.S. National Rate,16.3,24.1,167
10759,14.9,No Different than U.S. National Rate,11.7,18.8,236,21.8,No Different than U.S. National Rate,18.1,25.6,233
10760,13.4,No Different than U.S. National Rate,11.1,16,331,20.8,No Different than U.S. National Rate,17.7,23.9,332
10761,11.8,No Different than U.S. National Rate,9.3,15.1,294,19.3,No Different than U.S. National Rate,16.2,22.6,323
10762,12.6,No Different than U.S. National Rate,10.3,15.5,515,18.4,No Different than U.S. National Rate,15.8,21.5,537
10763,10.4,No Different than U.S. National Rate,8.3,12.8,291,18.9,No Different than U.S. National Rate,16.1,22,295
10764,13.1,No Different than U.S. National Rate,10,17.2,155,18.4,No Different than U.S. National Rate,15,22.5,155
10765,12,No Different than U.S. National Rate,9.1,15.7,217,18,No Different than U.S. National Rate,14.9,21.6,219
10766,14,No Different than U.S. National Rate,11.7,16.6,554,17,No Different than U.S. National Rate,14.5,19.8,562
10767,11,No Different than U.S. National Rate,9.2,13,871,18.5,No Different than U.S. National Rate,16.4,20.8,903
10768,13.5,No Different than U.S. National Rate,10.5,17.2,154,18,No Different than U.S. National Rate,14.9,21.7,163
10769,14.2,No Different than U.S. National Rate,11.6,17.3,281,18.4,No Different than U.S. National Rate,15.3,21.9,284
10770,11.9,No Different than U.S. National Rate,9.5,14.9,311,18.3,No Different than U.S. National Rate,15.3,21.7,318
10771,12.4,No Different than U.S. National Rate,9.1,16.6,115,18.7,No Different than U.S. National Rate,14.9,23,115
10772,12.5,No Different than U.S. National Rate,10.2,15.1,490,17.5,No Different than U.S. National Rate,14.9,20.5,487
10773,13.8,No Different than U.S. National Rate,11,17.3,322,18.9,No Different than U.S. National Rate,15.9,22.3,332
10774,9.6,No Different than U.S. National Rate,7.4,12.2,292,21.9,No Different than U.S. National Rate,18.5,25.4,300
10775,14.1,No Different than U.S. National Rate,11.9,16.6,511,19.5,No Different than U.S. National Rate,16.7,22.4,492
10776,12.1,No Different than U.S. National Rate,10.1,14.2,636,17.8,No Different than U.S. National Rate,15.4,20.2,655
10777,11,No Different than U.S. National Rate,8.4,14,153,18.9,No Different than U.S. National Rate,15.5,22.9,151
10778,12.9,No Different than U.S. National Rate,10,16.4,254,20.3,No Different than U.S. National Rate,17.1,23.7,271
10779,11,No Different than U.S. National Rate,9.2,13.3,623,19.3,No Different than U.S. National Rate,16.8,22.1,654
10780,13.2,No Different than U.S. National Rate,9.9,17.3,108,18.7,No Different than U.S. National Rate,15,22.8,110
10781,12.2,No Different than U.S. National Rate,10.2,14.6,683,19.2,No Different than U.S. National Rate,16.7,21.8,676
10782,11.3,No Different than U.S. National Rate,8.4,15,153,19,No Different than U.S. National Rate,15.3,22.8,151
10783,10.4,No Different than U.S. National Rate,8.7,12.5,723,15.6,Better than U.S. National Rate,13.6,18.2,755
10784,11.3,No Different than U.S. National Rate,9.7,13.2,1052,17.4,No Different than U.S. National Rate,15.5,19.6,1096
10785,8.9,Better than U.S. National Rate,7.4,10.8,780,19.9,No Different than U.S. National Rate,17.6,22.3,822
10786,10.6,No Different than U.S. National Rate,8.5,13.3,378,17.9,No Different than U.S. National Rate,15.3,21,398
10787,13.6,No Different than U.S. National Rate,10.8,17,270,18.7,No Different than U.S. National Rate,15.8,22.1,281
10788,13.2,No Different than U.S. National Rate,9.8,17.7,151,19.2,No Different than U.S. National Rate,15.6,23.4,163
10789,10.8,No Different than U.S. National Rate,8.6,13.3,404,20.5,No Different than U.S. National Rate,17.8,23.4,456
10790,11.6,No Different than U.S. National Rate,8.4,15.6,166,20.6,No Different than U.S. National Rate,17.1,24.7,192
10791,12.7,No Different than U.S. National Rate,10.7,14.8,668,16.8,No Different than U.S. National Rate,14.5,19.5,671
10792,13.4,No Different than U.S. National Rate,9.7,18.1,113,17.8,No Different than U.S. National Rate,14.3,22.4,114
10793,10.9,No Different than U.S. National Rate,7.9,14.9,137,19.9,No Different than U.S. National Rate,16.1,24.4,149
10794,9.9,No Different than U.S. National Rate,7.9,12.3,421,19.8,No Different than U.S. National Rate,17.1,22.7,446
10795,13.8,No Different than U.S. National Rate,11,17.1,342,21.6,No Different than U.S. National Rate,18.2,25.1,357
10796,10,No Different than U.S. National Rate,7.8,12.7,332,19.4,No Different than U.S. National Rate,16.5,22.6,365
10797,12.1,No Different than U.S. National Rate,9.9,14.7,495,18.8,No Different than U.S. National Rate,16.1,21.8,510
10798,12.9,No Different than U.S. National Rate,9.9,16.4,206,16,No Different than U.S. National Rate,13.2,19.6,216
10799,11.5,No Different than U.S. National Rate,8.4,15.7,191,19.2,No Different than U.S. National Rate,15.8,23,194
10800,12.7,No Different than U.S. National Rate,9.9,16.2,280,19,No Different than U.S. National Rate,16.1,22.5,300
10801,13.1,No Different than U.S. National Rate,9.5,17.8,101,17.9,No Different than U.S. National Rate,14.3,22.3,99
10802,10.6,No Different than U.S. National Rate,7.9,13.9,190,18,No Different than U.S. National Rate,14.8,21.7,220
10803,11.9,No Different than U.S. National Rate,9.6,14.7,353,17.5,No Different than U.S. National Rate,14.8,20.7,359
10804,11.7,No Different than U.S. National Rate,9.7,14,559,16.9,No Different than U.S. National Rate,14.6,19.7,561
10805,11.5,No Different than U.S. National Rate,8.6,14.8,211,16.5,No Different than U.S. National Rate,13.6,20.1,221
10806,11.1,No Different than U.S. National Rate,7.7,15.9,40,20.4,No Different than U.S. National Rate,16,25.3,41
10807,8.9,Better than U.S. National Rate,7.2,11,447,18.9,No Different than U.S. National Rate,16.3,21.8,456
10808,11.4,No Different than U.S. National Rate,8.8,14.5,234,21.2,No Different than U.S. National Rate,17.5,25,235
10809,10.6,No Different than U.S. National Rate,8,13.9,304,16.5,No Different than U.S. National Rate,13.6,19.9,338
10810,10.1,No Different than U.S. National Rate,7.3,13.6,205,20.8,No Different than U.S. National Rate,17.2,24.5,222
10811,11.5,No Different than U.S. National Rate,7.4,17.2,43,19.6,No Different than U.S. National Rate,15.2,24.7,45
10812,12.2,No Different than U.S. National Rate,9.3,15.8,232,17.5,No Different than U.S. National Rate,14.4,21,253
10813,10.8,No Different than U.S. National Rate,8.2,14,249,19.1,No Different than U.S. National Rate,15.8,22.9,262
10814,12,No Different than U.S. National Rate,8.5,16.7,81,18.5,No Different than U.S. National Rate,14.6,23.2,93
10815,12.4,No Different than U.S. National Rate,10.1,15.4,335,18.9,No Different than U.S. National Rate,16.1,22.3,400
10816,12.6,No Different than U.S. National Rate,9.8,15.9,247,15.8,No Different than U.S. National Rate,12.9,19.2,243
10817,11.5,No Different than U.S. National Rate,9.2,14.2,407,22.3,Worse than U.S. National Rate,19,25.5,418
10818,11,No Different than U.S. National Rate,9.2,13,829,18.6,No Different than U.S. National Rate,16.3,20.9,866
10819,12.8,No Different than U.S. National Rate,9.7,16.7,195,18.8,No Different than U.S. National Rate,15.5,23,185
10820,15.1,No Different than U.S. National Rate,12,18.8,249,18.8,No Different than U.S. National Rate,15.8,22.4,259
10821,11.4,No Different than U.S. National Rate,7.9,15.7,35,18.8,No Different than U.S. National Rate,15,23.7,35
10822,10.5,No Different than U.S. National Rate,8.9,12.4,871,15.6,Better than U.S. National Rate,13.7,18,872
10823,11.8,No Different than U.S. National Rate,9.7,14.3,441,20.4,No Different than U.S. National Rate,17.4,23.6,436
10824,13.2,No Different than U.S. National Rate,9.8,17.4,156,20.2,No Different than U.S. National Rate,16.6,24.4,148
10825,9.6,No Different than U.S. National Rate,7.5,12.1,324,15.3,No Different than U.S. National Rate,12.7,18.7,334
