Provider Number,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia
10626,14.7,No Different than U.S. National Rate,11.5,18.7,227,18.7,No Different than U.S. National Rate,15.5,22.4,237
10627,10,No Different than U.S. National Rate,7.6,13.1,188,17.8,No Different than U.S. National Rate,14.8,21.2,247
10628,10.3,No Different than U.S. National Rate,7.9,13.4,257,16.1,No Different than U.S. National Rate,13.3,19.4,267
10629,13.2,No Different than U.S. National Rate,9,18.9,48,18.1,No Different than U.S. National Rate,14.5,22.5,56
10630,10.9,No Different than U.S. National Rate,8.2,14.2,201,18.3,No Different than U.S. National Rate,15,22,239
10631,10.1,No Different than U.S. National Rate,8.1,12.6,521,16.8,No Different than U.S. National Rate,14.3,19.8,562
10632,11.5,No Different than U.S. National Rate,8.5,15,197,18.8,No Different than U.S. National Rate,15.4,22.7,214
10633,10.5,No Different than U.S. National Rate,8.3,13.1,329,19,No Different than U.S. National Rate,15.9,22.3,344
10634,11.7,No Different than U.S. National Rate,9.1,14.9,336,19.6,No Different than U.S. National Rate,16.4,23,363
10635,10.3,No Different than U.S. National Rate,6.9,14.6,57,22,No Different than U.S. National Rate,17.3,27.1,70
10636,11.8,No Different than U.S. National Rate,8.5,16.2,82,18.2,No Different than U.S. National Rate,14.6,22.6,94
10637,12,No Different than U.S. National Rate,8.2,17.3,36,18.4,No Different than U.S. National Rate,14.2,23.7,43
10638,12.5,No Different than U.S. National Rate,8.7,17.7,73,18,No Different than U.S. National Rate,14.1,22.8,79
10639,9.9,No Different than U.S. National Rate,7.5,13,202,16.2,No Different than U.S. National Rate,13.3,19.6,242
10640,8.6,Better than U.S. National Rate,6.4,11.4,187,17.3,No Different than U.S. National Rate,14.4,21,202
10641,12.6,No Different than U.S. National Rate,9.1,16.9,98,19.1,No Different than U.S. National Rate,15.4,23.3,108
10642,10.6,No Different than U.S. National Rate,7.8,14.2,151,19,No Different than U.S. National Rate,15.2,23.4,155
10643,10.5,No Different than U.S. National Rate,7.3,14.6,60,17.4,No Different than U.S. National Rate,13.6,22.3,64
10644,13.6,No Different than U.S. National Rate,10,18.2,89,17.7,No Different than U.S. National Rate,14.2,21.9,90
10645,11.4,No Different than U.S. National Rate,8.1,15.8,119,16.8,No Different than U.S. National Rate,13.2,21.1,138
10646,Not Available,Number of Cases Too Small,Not Available,Not Available,24,17.1,No Different than U.S. National Rate,12.9,21.9,32
10647,13.7,No Different than U.S. National Rate,10.7,17.3,235,17.6,No Different than U.S. National Rate,14.6,21.1,233
10648,11.4,No Different than U.S. National Rate,8,16,68,19.3,No Different than U.S. National Rate,15.2,24.6,72
10649,12,No Different than U.S. National Rate,9.1,15.7,170,17.2,No Different than U.S. National Rate,14,20.9,180
10650,Not Available,Number of Cases Too Small,Not Available,Not Available,3,Not Available,Number of Cases Too Small,Not Available,Not Available,4
10651,10.5,No Different than U.S. National Rate,7.6,14.3,172,19.3,No Different than U.S. National Rate,15.8,23.3,178
10652,8.9,Better than U.S. National Rate,6.8,11.6,290,15.5,No Different than U.S. National Rate,12.8,18.8,309
10653,9.8,No Different than U.S. National Rate,6.8,13.7,106,16.4,No Different than U.S. National Rate,13,20.6,111
10654,10.1,No Different than U.S. National Rate,7.1,14.3,61,18.3,No Different than U.S. National Rate,14.4,22.9,68
10655,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10656,Not Available,Number of Cases Too Small,Not Available,Not Available,9,Not Available,Number of Cases Too Small,Not Available,Not Available,12
10657,11.9,No Different than U.S. National Rate,8.8,16,139,19.8,No Different than U.S. National Rate,16.3,23.8,155
10658,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
